"","daily.returns"
"376",0.0130293159609121
"377",-0.0246516613076099
"378",-0.0208791208791208
"379",0.0078563411896746
"380",0.00222717149220486
"381",0.0255555555555556
"382",0.0108342361863489
"383",-0.0675241157556271
"384",0
"385",0.00689655172413794
"386",0.00799086757990874
"387",0.0113250283125708
"388",0.0078387458006719
"389",-0.0233333333333334
"390",-0.0420932878270761
"391",0.0190023752969122
"392",-0.00116550116550118
"393",0.00816802800466743
"394",-0.00347222222222232
"395",-0.0127758420441346
"396",-0.0211764705882352
"397",-0.0216346153846153
"398",-0.0036855036855038
"399",0.00123304562268811
"400",-0.00492610837438412
"401",-0.00990099009900991
"402",-0.00375000000000003
"403",0.00250941028858231
"404",0.00375469336670831
"405",0.0336658354114712
"406",-0.00723763570566938
"407",0.0109356014580801
"408",0.00360576923076916
"409",0.0299401197604789
"410",0.00116279069767433
"411",-0.0150987224157955
"412",-0.0035377358490567
"413",-0.00355029585798805
"414",-0.00950118764845609
"415",-0.0335731414868105
"416",-0.00620347394540954
"417",0.00374531835205993
"418",-0.0273631840796018
"419",-0.0012787723785167
"420",0.0102432778489117
"421",0.00253485424588096
"422",-0.0151706700379267
"423",0.0539152759948653
"424",0.0267965895249693
"425",-0.0320284697508896
"426",0.0245098039215685
"427",0
"428",-0.00837320574162681
"429",-0.00603136308805774
"430",-0.0060679611650486
"431",-0.00122100122100122
"432",-0.00611246943765265
"433",0.038130381303813
"434",-0.00236966824644547
"435",0
"436",-0.00237529691211391
"437",0.00357142857142856
"438",-0.00948991696322654
"439",-0.0179640718562875
"440",0.00243902439024413
"441",0.00973236009732359
"442",0.00240963855421672
"443",0.0324519230769231
"444",0.00698486612339932
"445",0.00231213872832359
"446",-0.0069204152249136
"447",-0.0116144018583042
"448",-0.00117508813160982
"449",-0.0141176470588235
"450",0.0214797136038185
"451",-0.0221962616822431
"452",0
"453",-0.0143369175627239
"454",-0.00363636363636355
"455",-0.00486618004866191
"456",0.00855745721271406
"457",0.0145454545454544
"458",0.00119474313022727
"459",0.00835322195704036
"460",-0.00355029585798805
"461",0.00475059382422804
"462",-0.0141843971631207
"463",0.0107913669064748
"464",0.0379596678529064
"465",0.00571428571428578
"466",0.0170454545454544
"467",0.0212290502793298
"468",0.0142231947483586
"469",-0.00755124056094936
"470",0.0152173913043478
"471",-0.0107066381156317
"472",0
"473",0.00865800865800859
"474",0.040772532188841
