日期,收益率
2018/9/5,0.007668
2018/9/6,-0.038681
2018/9/7,0.002639
2018/9/10,-0.007566
2018/9/11,-0.005635
2018/9/12,-0.003333
2018/9/13,-0.017391
2018/9/14,0.001361
2018/9/17,-0.00034
2018/9/18,0.021081
2018/9/19,0.014319
2018/9/20,-0.005253
2018/9/21,0.019802
2018/9/25,-0.008738
2018/9/26,0.024812
2018/9/27,0.003504
2018/9/28,0.007937
2018/10/8,-0.047244
2018/10/9,0.013223
2018/10/10,0.004894
2018/10/11,-0.055519
2018/10/12,0.018563
2018/10/15,-0.008437
2018/10/16,-0.042206
2018/10/17,0.005686
2018/10/18,-0.014134
2018/10/19,0.030466
2018/10/22,0.050435
2018/10/23,-0.016887
2018/10/24,-0.011788
2018/10/25,0.010907
2018/10/26,-0.006069
2018/10/29,-0.050882
2018/10/30,0.006433
2018/10/31,0.009588
2018/11/1,-0.002462
2018/11/2,0.045134
2018/11/5,-0.006748
2018/11/6,0.007813
2018/11/7,-0.002696
2018/11/8,-0.002366
2018/11/9,-0.006436
2018/11/12,0.007842
2018/11/13,0.005751
2018/11/14,0.002355
2018/11/15,0.009396
2018/11/16,0.003657
2018/11/19,0.014243
2018/11/20,-0.02678
2018/11/21,-0.002685
2018/11/22,0.015141
2018/11/23,-0.024196
2018/11/26,-0.004755
2018/11/27,0.001365
2018/11/28,-0.006476
2018/11/29,-0.005146
2018/11/30,0.003103
2018/12/3,0.024751
2018/12/4,0.001342
2018/12/5,-0.00134
2018/12/6,-0.032875
2018/12/7,0.00659
2018/12/10,-0.007581
2018/12/11,0.012153
2018/12/12,0.003087
2018/12/13,0.02736
2018/12/14,-0.000999
2018/12/17,-0.023326
2018/12/18,-0.010918
2018/12/19,-0.041049
2018/12/20,-0.046403
2018/12/21,0.012071
2018/12/24,0.017145
2018/12/25,-0.010627
2018/12/26,0.007407
2018/12/27,0.003676
2018/12/28,0.007326
2019/1/2,-0.030909
2019/1/3,-0.003752
2019/1/4,0.010169
2019/1/7,-0.006711
2019/1/8,-0.011637
2019/1/9,0.015572
2019/1/10,-0.000374
2019/1/11,0.008605
2019/1/14,-0.015208
2019/1/15,0.004896
2019/1/16,0.01087
2019/1/17,-0.020764
2019/1/18,0.007573
2019/1/21,0.017663
2019/1/22,-0.008493
2019/1/23,0.002235
2019/1/24,-0.008175
2019/1/25,0.002248
2019/1/28,-0.005234
2019/1/29,-0.000376
2019/1/30,-0.004887
2019/1/31,-0.0034
2019/2/1,0.021607
2019/2/11,0.01744
2019/2/12,0.026623
2019/2/13,0.015986
2019/2/14,0.009091
2019/2/15,-0.003465
2019/2/18,0.018428
2019/2/19,-0.011267
2019/2/20,-0.022445
2019/2/21,0
2019/2/22,-0.010244
2019/2/25,0.054961
2019/2/26,-0.005074
2019/2/27,-0.008841
2019/2/28,0.003087
2019/3/1,0.003078
2019/3/4,0.008865
2019/3/5,0.035147
2019/3/6,-0.002285
2019/3/7,-0.001963
2019/3/8,-0.016393
2019/3/11,0.011333
2019/3/12,0.018787
2019/3/13,-0.02394
2019/3/14,0.002652
2019/3/15,0.002314
2019/3/18,0.022757
2019/3/19,-0.00387
2019/3/20,-0.020071
2019/3/21,0.006607
2019/3/22,-0.013128
